name,gender,score,emails,country,group,bxl building id,bxl building name,bxl floor,bxl office number,bxl fax,bxl phone1,bxl phone2,stg building id,stg building name,stg floor,stg office number,stg fax,stg phone1,stg phone2
Claudette ABELA BALDACCHINO,F,,claudette.abelabaldacchino@europarl.europa.eu,Malta,SD,,,,,,,,,,,,,,
Raffaele BALDASSARRE,M,49,raffaele.baldassarre@europarl.europa.eu,Italy,EPP,ASP,Altiero Spinelli,08,E217,+322 28 49114,+322 28 45114,+322 28 47114,LOW,Louise Weiss,T10,032,+333 88 1 79114,+333 88 1 75114,+333 88 1 77114
Regina BASTOS,F,49,regina.bastos@europarl.europa.eu,Portugal,EPP,ASP,Altiero Spinelli,08,E108,+322 28 49122,+322 28 45122,+322 28 47122,LOW,Louise Weiss,T09,023,+333 88 1 79122,+333 88 1 75122,+333 88 1 77122
Nora BERRA,F,38,nora.berra@europarl.europa.eu,France,EPP,ASP,Altiero Spinelli,14,E158,+322 28 49882,+322 28 45882,+322 28 47882,LOW,Louise Weiss,T08,039,+333 88 1 79882,+333 88 1 75882,+333 88 1 77882
Adam BIELAN,M,60,adam.bielan@europarl.europa.eu,Poland,ECR,WIB,Willy Brandt,03,M081,+322 28 49925,+322 28 45925,+322 28 47925,LOW,Louise Weiss,T13,049,+333 88 1 79925,+333 88 1 75925,+333 88 1 77925
Preslav BORISSOV,M,,preslav.borissov@europarl.europa.eu,Bulgaria,EPP,ASP,Altiero Spinelli,05,F353,+322 28 49194,+322 28 45194,+322 28 47194,LOW,Louise Weiss,T08,063,+333 88 1 79194,+333 88 1 75194,+333 88 1 77194
Wim van de CAMP,M,53,wim.vandecamp@europarl.europa.eu,Netherlands,EPP,ASP,Altiero Spinelli,12,E116,+322 28 49298,+322 28 45298,+322 28 47298,LOW,Louise Weiss,T09,030,+333 88 1 79298,+333 88 1 75298,+333 88 1 77298
Jorgo CHATZIMARKAKIS,M,53,jorgo.chatzimarkakis@europarl.europa.eu,Germany,ALDE,ASP,Altiero Spinelli,10,G202,+322 28 49149,+322 28 45149,+322 28 47149,WIC,Winston Churchill,M02,103,+333 88 1 79149,+333 88 1 75149,+333 88 1 77149
Sergio Gaetano COFFERATI,M,66,sergio.cofferati@europarl.europa.eu,Italy,SD,ASP,Altiero Spinelli,15,G317,+322 28 49513,+322 28 45513,+322 28 47513,LOW,Louise Weiss,T06,064,+333 88 1 79513,+333 88 1 75513,+333 88 1 77513
Trevor COLMAN,M,51,trevor.colman@europarl.europa.eu,United Kingdom,NI,ASP,Altiero Spinelli,04,F136,+322 28 49763,+322 28 45763,+322 28 47763,LOW,Louise Weiss,T05,038,+333 88 1 79763,+333 88 1 75763,+333 88 1 77763
Lara COMI,F,42,lara.comi@europarl.europa.eu,Italy,EPP,ASP,Altiero Spinelli,09,E116,+322 28 49135,+322 28 45135,+322 28 47135,LOW,Louise Weiss,T10,091,+333 88 1 79135,+333 88 1 75135,+333 88 1 77135
Anna Maria CORAZZA BILDT,F,46,annamaria.corazzabildt@europarl.europa.eu,Sweden,EPP,ASP,Altiero Spinelli,05,F358,+322 28 49128,+322 28 45128,+322 28 47128,LOW,Louise Weiss,T09,089,+333 88 1 79128,+333 88 1 75128,+333 88 1 77128
Jürgen CREUTZMANN,M,56,jurgen.creutzmann@europarl.europa.eu,Germany,ALDE,ASP,Altiero Spinelli,10,G107,+322 28 49575,+322 28 45575,+322 28 47575,WIC,Winston Churchill,M02,085,+333 88 1 79575,+333 88 1 75575,+333 88 1 77575
António Fernando CORREIA DE CAMPOS,M,49,antonio.campos@europarl.europa.eu,Portugal,SD,ASP,Altiero Spinelli,14,G346,+322 28 49405,+322 28 45405,+322 28 47405,LOW,Louise Weiss,T06,151,+333 88 1 79405,+333 88 1 75405,+333 88 1 77405
